event,group,stroke_speed,velocity_mean,velocity_median,velocity_std_dev,velocity_minimum,velocity_maximum,velocity_data_range,velocity_iqr,velocity_skewness,velocity_kurtosis,acceleration_mean,acceleration_median,acceleration_std_dev,acceleration_minimum,acceleration_maximum,acceleration_data_range,acceleration_iqr,acceleration_skewness,acceleration_kurtosis,jerk_mean,jerk_median,jerk_std_dev,jerk_minimum,jerk_maximum,jerk_data_range,jerk_iqr,jerk_skewness,jerk_kurtosis,velocity_x_mean,velocity_x_median,velocity_x_std_dev,velocity_x_minimum,velocity_x_maximum,velocity_x_data_range,velocity_x_iqr,velocity_x_skewness,velocity_x_kurtosis,acceleration_x_mean,acceleration_x_median,acceleration_x_std_dev,acceleration_x_minimum,acceleration_x_maximum,acceleration_x_data_range,acceleration_x_iqr,acceleration_x_skewness,acceleration_x_kurtosis,jerk_x_mean,jerk_x_median,jerk_x_std_dev,jerk_x_minimum,jerk_x_maximum,jerk_x_data_range,jerk_x_iqr,jerk_x_skewness,jerk_x_kurtosis,velocity_y_mean,velocity_y_median,velocity_y_std_dev,velocity_y_minimum,velocity_y_maximum,velocity_y_data_range,velocity_y_iqr,velocity_y_skewness,velocity_y_kurtosis,acceleration_y_mean,acceleration_y_median,acceleration_y_std_dev,acceleration_y_minimum,acceleration_y_maximum,acceleration_y_data_range,acceleration_y_iqr,acceleration_y_skewness,acceleration_y_kurtosis,jerk_y_mean,jerk_y_median,jerk_y_std_dev,jerk_y_minimum,jerk_y_maximum,jerk_y_data_range,jerk_y_iqr,jerk_y_skewness,jerk_y_kurtosis
3,1,222.22436006559093,1843.5916755530177,461.57737987626757,5454.272978013327,0.0,46300.11494159336,46300.11494159336,1766.1786462388868,7.265040746788777,55.21461971267763,321970.9147673117,89425.62581734205,887185.1129700656,0.0,9125860.259461025,9125860.259461025,286478.0970898139,7.471101356829976,64.026261785472,58046886.41811024,18248295.80894237,155268837.7425872,0.0,1375587451.3625042,1375587451.3625042,47547650.332709186,7.112165241752156,55.70757147559003,1813.333605542582,700.0001050808014,5337.873869185336,0.0,46100.00692031932,46100.00692031932,1250.000187644217,7.640447719643149,60.22425559373888,190583.39055232386,40000.01200923757,605573.3205727516,0.0,4730001.420091877,4730001.420091877,157500.04728635,6.769275791225071,46.988754354051935,28948730.98566504,7000003.152423981,92169881.59409735,0.0,934000420.6234386,934000420.6234386,22250010.020205196,7.497702027496638,63.36007117310417,935.2942580491035,600.0000900692185,1012.9696809406508,0.0,4400.000660507701,4400.000660507701,800.0001200923073,2.047375958546074,3.490415697061807,74047.64127899676,30000.00900692761,102408.94165748854,0.0,440000.13210155006,440000.13210155006,60000.01801385769,2.1568577397764073,3.700015029385832,12086672.109851874,6000002.702076129,16811883.003595546,0.0,86000038.72977553,86000038.72977553,10750004.84122078,2.3005772681042185,5.2894066097529775
4,1,637.8416297795378,2885.5507042795302,890.2251950564453,6318.241412465602,0.0,37900.19856490375,37900.19856490375,1572.7678217881326,4.052745524919406,17.01956086400291,514082.00849586184,169042.93193581933,1039680.25698171,0.0,7557482.454704849,7557482.454704849,354270.67306762363,4.120965886846256,19.791479784698964,93167915.29144076,31031313.22661802,182119382.249411,0.0,1135623698.5898666,1135623698.5898666,74658893.10307442,3.9121060422683906,16.860048118497712,2958.51656734469,1299.966086100227,5584.732426731938,0.0,37499.02171442964,37499.02171442964,2049.9465203888367,4.528547111329285,22.54945055421141,255229.40127266015,69996.34778151121,619930.6101062709,0.0,3769803.3019470447,3769803.3019470447,129993.21730852372,4.401611673429183,19.77752230149453,41215028.194560215,10999139.13115799,97266851.5631926,0.0,751941147.8754255,751941147.8754255,26247945.653895494,4.698904780151741,25.567684226152014,2153.85005972254,1199.9686948617616,2979.852585616304,0.0,22099.42346370338,22099.42346370338,1949.949129150316,3.656533104502655,17.03431483088994,192233.87219994943,69996.34778150875,341310.78492742527,0.0,2359876.8680622373,2359876.8680622373,139992.69556300368,3.5535606746157034,14.810521927493987,29946272.797977466,9999217.391961105,53229687.85564394,0.0,456964234.81256217,456964234.81256217,26997886.958291896,3.9067622712488372,20.26584018612644
1,1,516.7387271205399,1732.1197564566066,596.8227252069777,4248.841032343565,0.0,31108.172343645983,31108.172343645983,717.765788716084,4.904043105985862,27.579319701141426,311534.3133941554,97600.21071943422,711992.5916608983,0.0,6176971.365550136,6176971.365550136,135985.86490404417,4.9093288232627,30.484666402414984,57781466.67353318,20056977.344661705,126362982.62711525,0.0,930286716.043679,930286716.043679,31692510.122809824,4.60361713873612,25.649916860535967,1691.8528072955178,1000.0095000902148,3566.0776316722217,0.0,31100.295452806367,31100.295452806367,1100.010450099206,6.362876894064996,46.189033984246585,153719.13686593852,50000.95001353726,423512.2194379942,0.0,3130059.4708473706,3130059.4708473706,60001.1400162428,5.337533894199298,31.550935031339417,25825736.02648315,6000171.003248535,70404825.17651461,0.0,624017784.3378751,624017784.3378751,9000256.504874196,5.363982896912825,35.20274805431846,1341.0653716999489,900.0085500811924,1681.3997853841572,0.0,10700.101650964818,10700.101650964818,1150.0109251037857,3.194416999139525,12.032336250967882,99512.38023672838,40000.760010828795,202603.48796278908,0.0,1190022.6103221204,1190022.6103221204,50000.95001353906,3.555131762690622,12.439956597004317,16264614.480504138,6000171.0032488,32729942.64683741,0.0,226006441.1223578,226006441.1223578,9500270.755144516,3.7310667526728403,15.476854122711972
4,1,667.9544445809681,2776.5495818553054,961.4780407075554,5382.716200858905,0.0,40309.81868648214,40309.81868648214,1828.4340824086973,4.008118813117378,19.402177361480554,480911.42466054455,162967.77843909347,883519.100598556,0.0,7972476.100036692,7972476.100036692,341897.1812465432,4.13985646316643,23.058522058739687,87172272.99134466,31130093.45819057,155758574.72486445,0.0,1200336660.3811383,1200336660.3811383,71230959.19043198,3.8874233106649956,19.24254716180427,2395.041297917409,1099.9937321474606,4406.242624942549,0.0,40299.77036867426,40299.77036867426,1699.9903133187697,5.326961491234561,36.643388635133384,211735.17567755724,69999.20227558148,488314.9341917289,0.0,4069953.6180231734,4069953.6180231734,127498.54700196604,5.240410591955087,33.05157837239601,34863328.08511223,10999811.9654933,79369251.82961172,0.0,809986153.8227788,809986153.8227788,22999606.83694163,5.463688622634733,39.4182384636003,2034.3634080340173,1199.9931623426314,2935.3576158190217,0.0,22499.871793924834,22499.871793924834,1599.9908831234857,3.8838980831726486,18.353096441020124,180687.59602169815,59999.316236230756,348416.41591694433,0.0,2549970.9400390917,2549970.9400390917,99998.86039369594,3.827081233207196,16.571524762589455,29421857.30126834,9999829.059539713,56805788.63921153,0.0,479991794.8579438,479991794.8579438,19999658.11908497,3.979868410126643,19.909012726080853
3,1,525.2656723769759,3014.7040609528476,751.7906624157304,6656.40350391317,0.0,39668.68427968831,39668.68427968831,1379.819414197795,3.879050433331244,16.552548968742283,520683.0862782122,122964.07847281398,1083797.520788474,0.0,7874594.1771140965,7874594.1771140965,275040.3373250987,4.024674281209445,19.97487029867346,95423889.3809269,20735677.578373794,189731508.53736573,0.0,1183977777.6391609,1183977777.6391609,61209754.596507244,3.8208236198465917,17.03023956303482,2416.643811760773,1299.8614442046294,5082.874651369224,0.0,39495.79003544922,39495.79003544922,1699.818811652291,5.760152241118842,37.57798350692387,252832.694805127,59987.21091586388,624001.7618292898,0.0,3999147.3943901043,3999147.3943901043,109976.55334573665,4.6453571117887975,23.673086576727133,42162441.857884124,6997762.029541493,101544609.97125834,0.0,794745830.4978993,794745830.4978993,22992646.66849245,4.8258582457067645,28.35069389048765,1718.6573833073885,999.8934186189016,2725.181173215924,0.0,17298.15614210852,17298.15614210852,1299.8614442046116,3.74524787705103,15.725661808875879,173259.7648613535,49989.34242987862,339021.71471986576,0.0,1809614.1959615187,1809614.1959615187,84981.88213079126,3.074205362172231,9.757193899259274,27577718.76751928,5998081.739606974,54369511.291361056,0.0,353886822.63679993,353886822.63679993,15495044.4939845,3.3044901403413616,12.98453040214446
4,1,929.0881612240175,3640.169209744499,1131.5613067921133,6977.565756295158,0.0,46261.15830001739,46261.15830001739,2693.946049345642,3.5820316489422495,14.620270817971175,634361.5745420583,203651.05101861956,1143486.7805643461,0.0,9223721.312501455,9223721.312501455,554415.6575526396,3.713113242433596,17.67500045666683,114970468.45909806,36355001.11233727,200616508.0753494,0.0,1384938291.2267847,1384938291.2267847,117663335.58269751,3.5065255318877018,14.861414412234462,3215.448896255198,1499.963122359745,5333.351056808027,0.0,46198.86416867913,46198.86416867913,2599.9360787567775,4.627028815689127,29.07610649040952,270991.0416406253,79996.06643341033,603134.7383172904,0.0,4639771.853136728,4639771.853136728,159992.13286678548,4.753564333601223,26.91517940607198,44759344.514055744,11999114.958393157,97761246.77596727,0.0,925931704.2893013,925931704.2893013,31997639.889047924,4.970056057949267,32.53507293989414,2575.9845718130045,1399.965580869157,3729.5630489173686,0.0,24499.39766520917,24499.39766520917,1899.9532883223283,3.4731392671145986,13.474198535307297,245266.90969250826,79996.06643339361,448762.6867401681,0.0,2509876.584347725,2509876.584347725,169991.6411709651,3.1258475745188417,9.817896904918868,40506664.78232194,10999188.711859256,73393079.16557471,0.0,495963418.2802468,495963418.2802468,36497307.998443335,3.256046592389577,12.267265387976485
2,1,391.7188757475387,1632.583621508967,396.51239442201313,5598.231832145969,0.0,35679.43488492211,35679.43488492211,674.5205963864347,5.042406323588722,24.387772493774037,289083.06204168266,63276.19830981421,925937.9544442778,0.0,7077528.037003928,7077528.037003928,107493.39006705172,5.083725557387003,27.42594987560115,54446260.95302467,10660824.415320924,165789041.0364075,0.0,1064537145.2331481,1064537145.2331481,22720236.80112354,4.722824349230232,22.470006274307472,1678.4928549371687,799.9943673865046,4485.230434300219,0.0,31099.781032151765,31099.781032151765,899.9936633099047,5.528007193986389,31.11152262921782,128630.26414117275,29999.57755547657,459222.2926149925,0.0,3109956.2065845234,3109956.2065845234,52499.26072209063,5.530504699102885,30.714376640941428,21517764.112401664,4999894.389239378,73399727.82338277,0.0,621986862.0216069,621986862.0216069,7999831.022785004,5.799446242387288,37.37226369955479,1593.0922316059455,799.9943673865401,3695.4447442582746,0.0,25499.820460447103,25499.820460447103,899.993663309819,5.111093770507178,26.46211700195655,123184.53986423767,29999.577555475014,400388.95228155755,0.0,2549964.0922158305,2549964.0922158305,49999.29592579379,4.841920371794694,23.154387258287805,19593082.078164037,3999915.511391057,62721233.36570555,0.0,509989227.7026045,509989227.7026045,6999852.144938834,5.237841124374793,30.19755186656582
4,1,779.1656979848682,3493.661553257221,1140.1753611879683,6641.445646876334,0.0,51503.49214006882,51503.49214006882,2339.662480919483,4.159665516115149,22.204664138793504,604599.0811341958,192862.92033680165,1087091.6733653685,0.0,10239870.23213613,10239870.23213613,482254.06457255647,4.294570831404579,26.280456618127737,110336083.48522887,38517745.889354676,191323103.9552438,0.0,1539021829.4765232,1539021829.4765232,96735029.647152,4.031808841423435,22.032123356992543,2829.9361471037137,1199.9999327353826,5380.117199664248,0.0,51499.99711322797,51499.99711322797,2199.9998766816316,5.614400685587805,42.43933764268116,262166.6372757766,69999.99215246858,598745.4037473495,0.0,5149999.42264561,5149999.42264561,172499.98066142786,5.34792662975969,36.251739302703,44328294.43247942,11999997.98206161,98202823.96559794,0.0,1028999826.9618154,1028999826.9618154,30999994.786994446,5.487775994296106,41.92605020124158,2225.15710797581,1299.9999271300264,3148.9832584059372,0.0,20899.998828475498,20899.998828475498,1599.9999103139205,3.311769746202312,12.231157064499945,206612.22173514383,79999.9910313845,356646.97674928716,0.0,2089999.7656951065,2089999.7656951065,139999.98430491914,3.0474749037485167,9.56856323816769,34970031.57256998,11999997.982062032,58391467.68665911,0.0,416999929.87666726,416999929.87666726,26999995.45964003,3.173583298011603,12.013735186271793
3,1,468.3563626493056,3198.1420003561966,1002.9238020572232,6219.47507409286,0.0,36854.44096947532,36854.44096947532,1950.363879748019,3.709622925677971,15.022169986302579,570852.9086342859,211787.53435811363,1024254.0575823303,0.0,7240398.97947924,7240398.97947924,450196.1132784004,3.8064131128369603,17.75012697207112,103964240.43670148,41109480.20522184,179879020.68359914,0.0,1102830994.485465,1102830994.485465,91339474.79163045,3.6147086606569436,15.156976265932244,2125.3416977857946,999.985208930118,3559.6867009918155,0.0,18899.72044877923,18899.72044877923,1249.981511162684,3.43852677981635,11.719809712542034,218397.7945017222,49998.520903950644,426118.6875192653,0.0,1889944.0901693322,1889944.0901693322,109996.74598869104,2.782510637204372,6.876400569447924,37729095.02019917,8999600.647020077,68898521.1247591,0.0,370983537.782717,370983537.782717,29498691.009676848,2.9351321501999004,9.110012814389625,2352.8223415827224,1299.9807716091534,4143.323164111685,0.0,32699.516332014857,32699.516332014857,1974.9707876369812,5.744281343581506,38.366030918901224,241482.21798291022,74997.78135592576,513800.2267851575,0.0,3399899.4214686365,3399899.4214686365,199994.08361579903,4.751471572476842,25.214770709485915,41331499.26779594,13999378.784253446,82417637.58558415,0.0,666970403.5069332,666970403.5069332,44998003.2351005,5.025905947209723,31.435304523577653
4,1,731.4504875019408,2739.6696751897,850.827597274793,5934.497069126804,0.0,50916.945905680506,50916.945905680506,1402.717870164508,4.95216560230408,31.3569516683806,476550.99918920844,143797.31909758985,984124.373535986,0.0,10023456.484713808,10023456.484713808,266016.290504297,5.0372839887408,35.69592586808033,86482977.48405145,26770762.49025588,173234494.4313822,0.0,1511528895.8464966,1511528895.8464966,57760671.76627373,4.757836370348057,30.443076817260028,2639.6629822321333,1100.0075059335647,4910.705607524539,0.0,50900.347320015695,50900.347320015695,1800.0122824366895,6.204958185143292,53.56867973647429,232708.0938029843,60000.818831909906,556031.2886944432,0.0,5090069.464240136,5090069.464240136,122501.67178182564,5.9909733838077255,45.8986450066752,38073772.08791955,8500174.002374886,90606001.78295648,0.0,1018020839.3431385,1018020839.3431385,22000450.359086726,6.187276729816161,53.67014213719968,1852.821631546903,1200.0081882911481,2642.5861513944133,0.0,21000.1432950944,21000.1432950944,1400.0095530063795,4.22817086948212,21.526597591118076,157637.8101998509,60000.81883191204,315496.1558163947,0.0,2100028.659116659,2100028.659116659,110001.50119181056,3.8681767471596378,15.902382462523507,26206312.628257852,10000204.708674278,52378667.90050399,0.0,415008495.41002107,415008495.41002107,16000327.533878796,3.9372688587890643,18.433421560619927
